Date,ITK,sti,spy,Google Trends Index,Unemployment,Public Holiday,Rainfall,Temperature,COVID Cases,,,,
3/1/2017,5,2898.969971,225.240005,84,3.2,0,0.6,26.4,0,,,,
4/1/2017,11,2921.310059,226.580002,41,3.2,0,2.8,26.6,0,,,,
5/1/2017,6,2954.139893,226.399994,0,3.2,0,0.6,28,0,,,,
6/1/2017,13,2962.629883,227.210007,0,3.2,0,0,28.3,0,,,,
9/1/2017,16,2981.540039,226.460007,40,3.2,0,0,28.4,0,,,,
10/1/2017,11,3006.02002,226.460007,0,3.2,0,3,27.9,0,,,,
11/1/2017,10,3000.939941,227.100006,0,3.2,0,26.4,26.7,0,,,,
12/1/2017,12,2993,226.529999,41,3.2,0,0,28,0,,,,
13/1/2017,12,3025.070068,227.050003,42,3.2,0,0,27.1,0,,,,
14/1/2017,5,3025.070068,227.050003,0,3.2,0,0.4,27.5,0,,,,
16/1/2017,4,3013.120117,227.050003,0,3.2,0,3,26.9,0,,,,
17/1/2017,8,3012.77002,226.25,0,3.2,0,0,27.1,0,,,,
18/1/2017,13,3000.219971,226.75,40,3.2,0,6,26.5,0,,,,
19/1/2017,10,3008.219971,225.910004,40,3.2,0,16.6,26.6,0,,,,
20/1/2017,11,3011.080078,226.740005,0,3.2,0,4.6,26.3,0,,,,
21/1/2017,1,3011.080078,226.740005,48,3.2,0,5.6,26.9,0,,,,
23/1/2017,6,3025.47998,226.149994,0,3.2,0,60.6,25.1,0,,,,
24/1/2017,18,3041.949951,227.600006,0,3.2,0,17.4,24,0,,,,
25/1/2017,9,3039.939941,229.570007,42,3.2,0,0,26,0,,,,
26/1/2017,10,3051.780029,229.330002,0,3.2,0,1.8,27,0,,,,
27/1/2017,7,3064.850098,228.970001,0,3.2,0,0,27.4,0,,,,
31/1/2017,7,3046.800049,227.529999,42,3.2,0,0,26.8,0,,,,
1/2/2017,17,3067.48999,227.619995,0,3.2,0,0,26.9,0,,,,
2/2/2017,15,3044.080078,227.770004,0,3.2,0,1.4,27.1,0,,,,
3/2/2017,11,3041.939941,229.339996,54,3.2,0,25.4,27.2,0,,,,
4/2/2017,4,3041.939941,229.339996,0,3.2,0,15,26.7,0,,,,
6/2/2017,15,3056.909912,228.929993,50,3.2,0,5.4,27.2,0,,,,
7/2/2017,10,3071.639893,228.940002,25,3.2,0,21,25.8,0,,,,
8/2/2017,17,3066.530029,229.240005,0,3.2,0,4.6,26.4,0,,,,
9/2/2017,7,3079.959961,230.600006,0,3.2,0,0,27.5,0,,,,
10/2/2017,19,3100.389893,231.509995,50,3.2,0,0,27.4,0,,,,
11/2/2017,2,3100.389893,231.509995,29,3.2,0,0,27.3,0,,,,
12/2/2017,0,3100.389893,231.509995,0,3.2,0,5.2,26.3,0,,,,
13/2/2017,11,3111.629883,232.770004,24,3.2,0,1.6,26.6,0,,,,
14/2/2017,16,3072.469971,233.699997,100,3.2,0,0.2,26.6,0,,,,
15/2/2017,5,3088.47998,234.919998,0,3.2,0,16.4,25.7,0,,,,
16/2/2017,14,3096.689941,234.720001,0,3.2,0,0.8,26.6,0,,,,
17/2/2017,14,3107.649902,235.089996,77,3.2,0,0,27.1,0,,,,
